,Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced
3087,4,79,1,6,5
8643,8,64,0,6,8
1714,3,55,0,4,3
339,4,89,1,7,1
9563,5,65,0,4,9
5942,9,58,1,7,2
9869,2,82,1,4,8
8102,1,44,1,9,7
8488,4,81,1,9,8
588,5,86,0,8,8
3365,5,74,1,5,9
2670,3,69,1,4,4
3589,4,84,1,4,2
34,7,67,1,9,3
28,3,94,1,6,5
8553,2,89,1,4,0
8117,6,82,0,8,6
2170,8,86,1,8,8
8377,1,62,0,6,6
5620,2,50,1,9,0
889,7,42,0,5,7
6489,3,73,1,4,6
3322,5,56,0,8,2
9396,6,45,1,8,1
3514,3,98,0,6,6
4420,8,87,1,4,5
8351,5,62,1,5,6
5361,8,87,1,5,6
3733,1,77,1,9,0
9463,1,51,0,9,0
7081,8,58,0,9,6
1654,6,74,0,5,6
5032,2,92,0,4,5
223,8,65,0,6,5
8625,5,49,0,9,7
6194,8,64,1,5,6
1590,4,98,1,9,6
5982,5,75,1,6,8
3256,2,73,1,8,7
6680,3,55,1,8,7
4770,4,48,1,4,3
2181,5,53,1,8,1
6803,7,47,0,6,8
4913,8,89,0,6,7
6786,5,93,0,7,5
4789,9,54,0,7,4
1209,9,41,1,8,1
421,2,43,1,5,3
8740,1,86,1,4,4
1706,6,44,1,5,6
1158,9,44,1,9,6
2306,7,54,1,7,1
273,1,87,0,8,9
171,4,90,0,7,9
3956,6,60,0,7,3
6696,9,93,0,9,7
3188,2,76,1,8,7
8132,2,47,1,4,3
4808,4,92,0,8,8
8083,3,81,0,4,7
1564,5,48,0,8,0
1782,7,61,1,9,9
843,8,85,1,6,3
9345,7,98,0,4,4
4461,2,80,0,8,8
904,3,64,0,6,1
5911,7,46,1,5,5
9950,1,96,1,6,3
9297,4,91,0,8,6
1547,5,43,0,7,9
2080,7,88,0,8,8
9881,1,78,0,8,8
3985,4,77,1,7,9
6389,8,69,0,6,0
7579,2,92,0,7,0
9245,9,87,1,8,3
6567,7,98,0,8,9
8206,8,60,0,4,6
3820,2,67,0,5,5
2646,3,60,0,5,6
4454,9,41,1,5,2
7159,7,45,1,6,5
8221,7,41,1,7,7
8596,7,73,1,5,9
9589,8,97,1,6,1
6071,2,93,0,4,3
2155,9,76,0,9,8
6712,2,51,1,7,8
3715,8,83,1,9,6
4057,2,52,0,4,1
5952,5,45,1,5,6
3102,9,55,0,7,2
558,6,45,0,5,2
4610,8,88,0,5,7
6978,8,71,0,8,5
1436,6,65,1,5,9
507,4,70,1,6,8
1869,4,87,0,6,9
755,8,82,1,5,3
5419,5,77,0,9,1
4050,7,59,0,6,3
8089,3,68,0,5,5
3836,7,73,0,7,7
2118,6,44,1,7,7
6152,4,84,0,8,6
7808,9,42,0,5,0
501,6,91,1,4,0
6259,5,85,1,5,7
9743,7,58,1,7,7
1539,1,93,0,7,7
6141,8,45,1,4,6
1211,9,70,1,4,5
9122,1,85,1,5,2
672,6,83,0,7,0
3377,8,64,0,6,2
8783,5,56,1,4,2
1464,8,50,1,4,5
1192,1,60,1,4,3
6984,8,89,0,4,6
1872,1,60,1,7,8
3590,8,80,1,4,0
6726,3,63,1,9,8
505,3,72,1,8,3
8118,9,86,1,6,9
506,2,49,1,5,7
9449,3,60,0,9,3
7131,9,89,1,5,3
4807,6,85,0,8,7
7303,3,75,0,5,6
1773,3,79,1,6,3
6854,4,58,0,6,0
4906,3,73,0,8,6
797,1,67,1,7,1
8785,5,72,0,9,2
7070,2,48,0,9,9
2829,7,69,1,5,1
9319,3,77,0,6,3
8737,7,91,0,7,0
312,9,96,1,4,3
746,8,89,1,5,8
3569,4,84,0,9,7
790,2,87,1,4,5
2476,4,83,1,5,4
9325,7,65,0,4,5
2570,2,53,0,9,3
5286,8,60,0,5,2
5215,7,58,1,8,0
2163,2,94,1,5,2
6577,2,63,1,8,6
8449,4,65,1,5,4
380,5,62,1,7,2
8508,7,59,1,7,6
1292,8,76,0,4,3
1912,9,63,1,5,5
599,9,53,0,4,2
3892,3,45,0,5,5
4141,3,60,1,9,0
1652,2,64,0,7,5
5224,8,88,0,4,7
1893,4,57,1,6,7
1944,9,91,1,8,6
3395,1,49,1,8,6
5479,2,44,1,5,1
9769,2,43,0,9,8
375,5,56,1,5,2
1966,4,49,0,4,4
3957,2,92,0,4,3
7135,8,41,1,7,7
7478,1,96,1,6,6
4505,3,79,1,9,2
9580,4,42,1,6,4
5288,5,43,1,7,4
1471,9,88,1,8,5
3346,4,67,1,4,8
6253,7,71,1,8,5
2853,2,95,0,5,8
8988,9,69,1,6,1
9775,7,53,1,5,1
6459,4,47,1,9,8
4062,9,54,1,6,7
5863,9,53,1,5,5
4306,7,51,1,5,1
4877,5,94,1,6,3
7249,9,98,0,8,5
5273,2,70,0,4,1
3990,1,80,0,6,2
1049,1,86,1,6,2
6175,9,46,1,7,8
6926,8,93,0,5,5
7864,7,75,1,9,5
2035,8,56,0,4,5
4039,7,88,0,7,6
6875,6,82,0,6,1
9354,8,42,1,5,0
1972,4,80,1,9,8
5072,1,64,1,8,0
2099,4,42,0,6,0
1499,2,89,0,9,4
9612,5,54,1,5,9
652,2,87,0,9,2
170,7,58,1,6,2
4085,3,54,0,5,0
242,9,85,0,8,6
5710,6,76,1,8,1
6972,7,48,0,8,9
2756,2,60,0,9,3
6884,6,57,1,8,6
5446,4,75,1,9,4
2076,4,66,1,9,6
4103,5,70,1,7,8
9559,5,50,1,9,8
7571,5,88,1,9,9
9466,8,49,0,4,0
4894,3,95,0,7,5
6692,4,95,0,9,0
8054,2,55,0,8,1
5389,6,83,1,7,1
9373,6,56,1,8,9
8021,8,40,0,7,0
8604,1,75,0,7,6
4480,4,81,1,5,4
8326,5,89,0,9,6
4078,7,88,0,7,9
640,1,65,0,8,2
1270,3,80,0,7,7
2778,1,79,0,7,4
9497,7,47,0,9,8
3861,8,56,0,6,7
3480,8,71,1,4,8
1534,6,70,1,7,6
325,6,62,1,7,6
2338,5,41,0,8,4
3980,1,69,1,5,1
6877,4,47,1,9,7
4054,8,48,0,9,3
2237,1,53,0,5,9
7106,2,68,0,8,4
9668,3,91,1,8,9
4745,1,89,1,8,5
864,4,49,0,8,5
6203,4,99,0,8,8
5508,5,84,0,5,8
7429,3,85,1,6,3
371,9,65,1,4,8
6296,9,72,0,9,8
5551,4,98,1,8,6
5723,2,88,0,8,6
5899,8,74,1,5,0
9287,3,61,0,8,6
7871,3,74,1,8,7
2364,4,49,1,5,0
3213,6,61,1,4,3
911,5,46,0,5,1
9047,3,46,1,9,9
9790,8,74,0,9,6
7289,4,98,1,9,6
9958,4,77,0,9,2
6536,5,90,0,4,5
9192,9,71,0,8,6
1423,8,53,1,7,0
9807,4,95,0,8,8
479,1,95,0,5,4
662,8,76,1,9,1
4476,3,90,1,8,3
8982,8,69,0,4,6
8077,2,73,0,9,1
2988,9,85,1,6,9
1119,4,92,0,4,5
2776,1,96,1,6,7
9835,5,56,1,7,6
5003,3,70,1,5,4
6649,3,46,0,7,7
7254,7,45,1,8,0
4427,3,54,1,7,6
7431,3,54,1,6,6
3981,7,83,1,5,5
6351,8,73,0,5,4
2893,4,52,0,8,2
2669,5,97,1,5,3
3977,3,67,1,4,4
5259,2,43,1,9,8
279,8,52,0,9,4
6730,6,96,0,6,4
6104,9,78,0,5,4
7020,7,82,1,9,7
1694,3,97,0,7,9
8912,7,42,1,5,3
3479,4,98,1,9,4
4416,9,97,1,9,3
7592,5,85,1,9,1
6282,2,88,1,5,6
5603,9,83,0,8,0
8619,4,65,0,8,4
7780,8,95,0,5,2
4296,7,70,0,6,5
4593,6,53,1,6,3
4844,7,91,1,7,6
2209,8,57,0,8,8
7605,4,71,0,5,5
5501,7,69,0,6,1
184,6,46,1,9,7
4800,1,52,1,8,7
4845,1,99,0,5,0
2350,6,90,0,5,4
553,9,82,0,7,8
1397,8,58,0,6,6
1384,6,80,1,4,7
9182,7,70,1,5,5
9817,6,62,0,7,7
297,7,90,1,8,9
443,7,68,0,9,8
7338,7,70,0,8,0
2077,9,61,0,4,8
7815,3,62,1,8,9
2229,6,56,1,5,5
2842,4,75,0,5,9
2537,1,44,1,8,5
8145,2,82,1,5,3
9536,9,97,0,6,9
6443,4,91,0,5,5
3367,6,55,1,4,7
4486,7,62,1,7,0
2578,3,51,0,7,4
1131,8,62,0,6,8
4818,1,69,1,7,2
320,2,67,0,8,6
1371,9,92,0,4,3
4042,2,43,1,4,0
9125,3,72,0,9,8
5145,8,83,0,4,4
907,6,59,1,8,1
9426,3,57,0,9,8
3950,6,70,0,5,7
6145,3,52,0,6,7
8886,5,62,0,9,1
6695,6,73,0,7,9
4977,9,85,0,5,0
6092,9,75,0,4,8
8408,1,78,0,6,9
926,9,46,0,6,3
6143,4,61,1,8,0
15,2,72,0,4,3
143,6,59,1,4,9
2363,6,78,1,8,4
129,1,71,0,9,1
1161,9,61,1,9,5
7551,6,73,1,8,2
6129,3,40,1,5,4
4665,5,97,1,7,5
5660,3,87,1,8,5
6460,4,99,1,6,1
1876,9,96,1,8,9
2488,5,59,0,8,0
5327,7,55,0,6,4
9361,5,40,1,8,5
1182,8,44,0,8,0
6135,1,80,0,8,3
6377,3,57,0,4,5
1170,9,66,1,8,3
2182,6,93,1,5,7
3371,3,78,1,8,9
8040,5,87,1,7,0
1859,5,97,1,9,5
4860,7,62,1,8,4
9255,4,96,0,6,2
8345,1,88,0,9,8
7347,7,90,1,9,7
4864,7,41,0,4,5
9886,7,71,0,6,8
6388,7,43,0,8,2
3121,4,45,1,7,1
387,3,82,0,6,2
7785,8,99,1,6,3
1032,5,90,0,8,2
7852,3,88,0,4,6
5418,6,43,0,8,9
931,9,69,1,4,6
4019,6,63,1,4,6
691,4,87,1,7,0
5298,4,58,1,7,7
6658,7,70,0,9,4
829,7,87,0,5,3
3498,2,81,1,4,8
2081,2,66,0,4,3
9440,6,66,1,5,2
44,8,77,1,6,4
3939,6,60,0,5,8
5257,2,68,1,5,1
8437,4,44,1,5,0
4319,6,89,1,8,4
2965,8,42,0,9,5
3969,7,78,0,4,9
1187,8,59,1,7,9
284,4,89,1,7,8
8873,3,49,1,9,0
4159,9,42,1,6,1
3092,1,77,1,7,5
4556,3,69,1,7,3
4584,3,86,0,7,5
4323,1,56,0,4,9
5504,6,70,0,9,1
7074,2,54,0,5,7
3364,9,73,1,4,6
8025,6,78,1,6,3
3195,6,75,0,7,8
8810,9,99,0,8,0
969,1,59,1,7,9
3734,7,43,1,4,1
925,4,95,0,9,9
9496,6,87,1,8,4
6451,6,65,0,7,7
8797,5,84,1,9,6
2851,3,61,0,4,8
5180,6,73,0,9,9
6723,1,84,1,7,5
9322,2,59,0,8,3
7810,9,68,0,9,7
4471,2,71,0,8,0
5168,3,40,1,7,3
4348,6,84,1,8,4
7903,3,84,0,9,0
3626,4,46,1,8,1
1789,5,97,1,8,5
8293,2,52,0,6,0
2059,3,69,0,4,2
4013,8,75,0,9,5
1902,4,55,1,5,8
5573,7,43,0,6,4
6925,3,79,0,9,3
75,8,43,1,7,3
2345,3,48,1,7,7
5484,6,64,1,5,9
430,8,99,1,8,8
4586,1,61,0,7,8
8099,8,56,0,9,4
8457,2,54,0,5,9
8156,6,48,1,9,2
7893,5,69,1,9,6
1553,9,43,0,4,4
240,6,77,0,6,8
783,3,71,1,6,6
3066,1,84,1,8,3
977,6,92,0,8,9
2941,5,46,1,6,1
5377,6,59,1,6,6
4730,3,44,1,9,3
1620,7,71,1,5,6
2146,1,59,0,8,8
1801,7,87,0,7,8
2095,8,77,1,4,4
6074,2,48,0,7,3
5245,5,53,0,5,8
1357,2,76,1,6,7
8063,8,67,0,9,0
6050,3,97,1,7,1
8368,5,91,1,7,8
6017,8,57,1,7,6
9931,8,86,0,4,8
8769,3,50,0,6,4
7503,2,84,1,4,8
1609,8,59,0,4,9
3096,9,48,1,9,3
9771,5,56,1,4,9
2415,3,86,1,9,4
2017,1,96,0,7,9
6018,7,74,1,4,2
4125,5,83,0,9,6
9802,7,58,1,4,3
3246,1,57,0,9,2
124,4,56,0,4,7
6425,7,71,0,6,4
5308,4,61,0,8,4
7463,6,60,1,9,3
9157,1,64,1,7,8
3341,5,92,1,8,7
598,5,60,0,9,0
2123,2,75,0,9,1
9498,5,71,0,5,6
7685,5,58,0,6,1
7049,4,84,0,5,2
9661,4,54,1,4,9
2197,7,83,1,8,3
4051,7,73,1,5,6
6054,3,42,1,5,0
3362,4,78,0,7,5
6851,2,52,1,8,2
725,8,56,0,4,6
4934,5,43,1,6,1
978,1,53,1,7,5
808,9,81,1,8,8
9603,9,64,0,5,5
1475,2,85,0,9,1
5935,9,56,1,5,9
9036,9,63,1,8,7
7335,4,58,0,6,9
3962,6,96,1,6,4
6422,2,89,0,6,9
4905,3,84,1,5,5
1235,7,99,1,4,0
1225,1,55,0,5,0
8049,6,58,1,9,9
9278,1,52,0,9,2
8671,8,76,0,6,0
5229,6,54,0,4,4
6950,5,76,0,9,8
3217,4,95,1,8,3
287,1,86,1,7,3
5023,7,43,1,6,7
2966,2,66,1,7,5
3164,1,84,0,9,6
6003,5,66,0,7,1
8887,4,66,1,8,6
1657,9,81,1,9,9
1975,6,59,0,4,6
2397,4,62,1,8,9
452,3,75,1,5,8
8030,3,82,0,6,6
4696,3,85,0,6,0
3681,9,84,0,7,4
422,8,84,1,7,5
9725,7,44,1,5,0
657,6,45,0,7,4
3301,4,59,0,6,9
6394,1,68,0,8,1
2845,8,55,1,9,3
8291,8,79,1,8,9
7497,6,82,0,8,2
1001,7,65,0,5,9
4198,2,89,0,7,0
2418,1,91,0,9,0
7482,7,91,1,7,9
5706,6,41,0,8,5
3847,4,71,0,7,3
961,8,87,1,4,2
1580,4,59,1,8,2
5007,6,86,1,8,2
2206,1,88,0,5,0
6312,5,78,1,6,1
9562,5,63,1,9,8
4231,2,40,1,5,6
757,2,68,1,4,4
2284,4,65,0,6,5
6663,2,43,0,4,9
4755,4,53,0,5,8
8211,4,77,1,7,5
807,8,88,1,5,2
6575,1,97,1,6,5
7719,4,74,1,6,1
1956,7,67,1,8,0
2445,5,61,0,6,7
5875,1,86,1,5,0
8163,1,49,0,6,4
6138,2,46,0,4,3
2402,3,74,1,8,8
1073,6,93,1,9,7
6557,2,72,1,8,4
4240,8,91,0,6,9
8509,8,72,1,7,6
2091,2,59,0,7,5
4527,4,68,1,9,0
7202,7,92,0,6,3
6795,2,68,0,6,4
7237,2,86,0,6,2
7422,4,54,0,5,4
6849,8,50,1,6,0
6836,2,77,0,7,7
1003,6,75,0,7,7
9099,7,81,1,8,7
6562,2,84,1,9,7
5614,4,95,0,4,3
4651,5,59,1,9,6
5313,9,78,1,7,6
1485,6,76,1,5,7
7607,2,93,0,7,4
1411,7,83,1,5,6
9303,2,61,1,5,1
709,7,56,0,8,0
9806,4,65,1,8,6
8042,4,49,1,6,1
7211,1,46,0,5,0
3076,1,51,1,5,0
8314,4,44,0,7,5
4101,9,94,1,6,9
5114,4,49,1,6,9
2722,9,75,0,7,4
9359,6,41,1,9,1
1268,8,73,1,6,5
2462,6,86,1,7,9
5464,7,61,1,9,8
268,5,61,1,6,6
3580,8,97,1,6,3
5349,1,99,0,6,1
7290,7,93,0,4,4
5157,2,90,0,7,8
6601,8,62,1,6,1
2821,6,66,0,8,5
5807,4,87,1,8,9
589,6,61,1,7,4
5955,9,81,0,7,1
5254,2,41,0,4,9
6661,2,58,0,4,9
7656,2,89,1,9,4
8725,9,55,1,7,4
6896,4,90,1,5,3
7594,6,86,0,6,5
2028,2,66,0,6,6
6818,7,69,1,4,2
677,9,84,1,8,8
5763,3,78,1,8,2
1232,5,57,1,9,2
5296,7,66,0,7,3
7103,3,49,1,9,4
5034,3,86,1,9,0
5452,2,87,1,7,3
2432,4,59,0,9,7
6319,5,93,0,5,9
6119,2,43,1,7,8
9158,5,87,0,5,0
9953,6,73,0,7,2
896,4,69,0,5,7
1611,9,96,0,6,8
6474,1,43,1,9,2
7661,4,95,1,6,4
7460,7,54,0,5,5
3806,6,89,0,4,4
8273,1,52,1,4,4
9451,7,60,0,5,4
4701,1,68,0,5,7
3961,8,54,0,8,2
5417,5,68,1,5,5
890,8,67,1,5,3
4999,1,69,0,5,5
7506,2,53,1,7,4
7881,1,78,0,8,5
5095,7,50,0,6,8
6932,2,48,1,6,7
9617,2,88,0,8,6
2799,1,57,1,7,8
584,7,89,0,9,4
3268,8,91,1,8,1
3932,3,68,0,6,6
1260,9,82,1,6,0
6205,3,79,1,5,5
310,8,91,0,5,8
7789,1,86,1,7,3
6458,4,48,1,8,6
6206,8,56,1,5,8
5882,7,48,1,4,8
4668,8,48,1,7,8
4298,8,66,0,6,7
3783,6,94,1,6,6
1008,1,43,0,6,9
8354,1,68,0,5,9
2185,5,53,0,6,6
3623,7,59,0,7,2
7039,7,47,1,8,1
4922,3,46,0,4,9
9673,9,57,0,6,3
7950,1,97,0,5,7
6125,6,76,0,9,9
4756,9,43,1,4,6
5074,8,63,1,8,3
90,1,46,0,5,5
5974,5,40,1,5,8
6418,2,58,0,9,7
8640,5,52,1,5,1
8690,1,76,1,5,6
2117,7,90,0,5,7
2937,7,96,1,6,3
6842,9,47,1,4,2
983,1,79,0,8,3
7260,3,44,0,5,1
9985,8,99,0,5,5
2925,2,58,0,5,4
6061,6,48,1,6,6
3214,6,93,0,8,9
6447,3,71,1,9,9
6779,6,54,1,5,6
7038,7,85,1,7,5
5663,4,65,0,5,7
627,6,49,0,9,1
8008,7,55,0,5,2
5125,4,49,0,8,2
4765,6,91,1,9,8
8143,7,74,1,7,4
9594,4,48,0,8,2
1269,3,78,0,5,3
128,1,97,1,8,0
6112,4,83,0,6,9
1711,5,85,0,6,5
7862,7,49,0,6,0
4235,9,51,1,9,2
5192,3,98,0,7,2
2398,6,90,0,5,6
5434,7,87,0,5,3
6057,1,97,1,4,5
9318,5,56,0,7,1
1186,5,54,0,5,0
6013,1,72,0,4,7
9793,4,57,1,9,9
6014,2,58,0,5,6
1977,5,74,1,8,7
9887,3,98,1,5,2
4247,2,53,1,8,4
7672,1,48,0,8,2
915,9,52,0,5,9
1305,2,52,1,7,3
5455,7,60,1,9,4
3049,9,99,1,5,7
9521,4,44,1,9,5
1273,9,89,0,7,6
8055,6,67,0,5,5
2796,7,99,0,6,0
1398,9,58,0,7,0
3358,1,46,0,8,9
183,9,77,1,9,1
6867,9,71,1,8,9
5695,4,92,1,8,2
8835,9,93,0,4,3
9626,4,72,0,6,7
6170,1,71,1,6,7
6987,8,79,1,9,9
4567,1,66,1,8,0
8955,7,73,0,4,8
2656,8,86,1,7,3
8309,7,56,0,9,5
6857,1,90,1,7,8
1961,8,41,1,5,5
6383,7,61,0,8,5
8853,2,45,1,6,0
9973,4,49,1,7,6
1251,1,77,0,9,0
3176,8,53,1,6,9
7760,6,93,1,5,3
5013,6,79,1,8,2
9705,9,50,0,7,8
6539,3,58,0,8,6
3289,8,95,0,6,6
6448,1,49,0,7,9
8726,4,62,0,9,9
7611,3,43,1,7,2
6275,6,51,1,6,6
6887,6,87,0,8,5
1051,7,85,0,5,2
4069,8,75,0,7,0
6022,1,58,0,7,4
5552,9,40,0,5,5
272,1,73,1,4,2
2042,8,61,1,6,4
4763,9,70,0,4,7
8997,4,91,0,7,1
5204,7,55,1,4,5
9509,1,40,0,9,6
1086,2,77,1,4,8
8373,8,92,1,7,2
7732,1,79,0,6,6
7515,7,59,1,8,6
6678,4,75,1,8,7
4322,1,42,0,4,5
6946,5,61,1,6,1
7747,9,93,1,4,0
6772,3,52,0,8,2
5518,9,50,1,8,5
5117,9,78,0,8,0
6179,6,90,1,5,0
4709,3,76,1,6,2
8121,9,93,1,8,6
5969,4,71,1,5,1
6784,5,98,1,6,5
3478,8,41,1,6,8
8414,3,60,1,4,6
3924,5,62,0,4,5
1748,5,77,1,5,6
732,4,66,0,8,6
2553,7,97,1,7,9
5458,1,86,0,9,8
5873,1,49,0,4,2
2662,2,45,1,8,5
9398,1,97,0,7,7
6455,5,59,1,9,0
3113,9,95,0,5,8
3303,8,82,0,8,3
1344,4,83,0,6,9
1690,3,68,0,4,8
7180,2,91,0,6,4
6499,5,67,1,7,1
3308,9,59,0,5,3
1504,9,44,0,5,2
1806,4,65,0,7,4
8469,6,61,1,9,8
5369,1,92,1,6,9
3791,2,41,0,4,1
9520,9,43,0,4,1
7329,7,45,0,4,6
5909,9,95,1,4,5
6825,9,42,0,5,9
7263,2,52,1,4,1
1848,3,59,1,9,4
4512,6,80,0,7,3
2431,9,76,1,8,1
4660,7,45,1,5,8
8885,9,87,0,4,1
5584,4,94,1,9,8
142,8,96,0,8,9
8760,4,51,1,7,3
9211,1,75,1,9,5
5264,9,42,1,7,1
3409,2,44,0,8,7
1117,3,66,0,6,2
1756,1,76,0,5,4
497,4,45,0,6,8
8031,3,94,0,9,0
870,6,70,1,6,6
3357,9,56,1,9,5
912,4,68,1,5,5
721,2,63,1,9,4
2805,1,59,1,8,3
9943,2,98,0,7,1
886,6,81,1,8,5
9592,4,40,1,7,5
6587,2,75,0,9,8
8100,7,41,0,7,6
1520,1,45,1,6,5
8689,3,94,0,9,4
2746,6,74,1,4,6
6700,8,89,1,6,0
5775,2,78,1,8,4
314,4,62,0,8,6
1799,4,61,1,7,5
327,1,55,1,8,1
5642,1,81,1,4,4
4204,4,50,1,5,1
3129,8,41,1,5,1
6860,8,48,1,7,2
9905,7,63,0,8,0
3968,4,40,0,5,4
5743,5,60,0,9,2
6226,9,47,1,8,7
1973,3,76,0,7,0
336,7,84,0,6,9
2764,2,78,1,8,0
7660,1,49,0,7,3
275,6,62,1,8,2
2985,6,63,1,5,1
5646,9,86,1,8,8
5849,4,51,0,8,3
3477,6,65,0,5,3
7558,2,75,0,9,9
3558,4,64,0,7,1
2809,6,91,1,7,4
9113,4,73,0,7,7
4861,9,82,0,8,8
6586,5,86,1,8,5
3416,1,96,0,4,9
307,3,86,1,5,9
3908,5,76,0,6,8
348,3,87,1,7,6
826,2,81,0,7,4
9501,3,62,0,5,9
4482,6,47,1,4,4
6576,4,50,1,4,7
3682,5,83,0,4,6
5876,8,79,1,8,6
8387,1,56,0,6,4
2053,5,93,0,6,8
71,7,61,1,4,7
5507,5,71,0,5,8
8514,2,44,1,8,8
7510,8,83,1,8,5
8151,8,69,0,5,7
1666,6,57,0,7,6
7861,9,87,1,8,6
9159,6,93,0,6,7
5688,6,57,1,6,5
1445,1,53,0,5,0
5227,3,49,1,8,0
6982,5,60,0,7,3
1695,5,83,1,7,0
2892,1,85,1,9,5
1574,5,50,1,5,5
3203,7,65,1,9,4
4405,7,83,1,6,1
1630,6,84,1,9,4
8380,3,72,1,5,2
1881,1,67,0,5,7
8821,5,46,0,6,2
6463,2,63,0,8,9
848,6,88,0,6,5
9923,5,57,1,8,4
6188,9,65,0,8,8
5869,2,56,1,6,4
2877,2,80,0,6,0
186,4,46,1,9,3
3779,4,74,0,7,7
1830,2,52,1,4,5
8325,3,67,0,8,1
9241,7,44,1,9,8
6378,6,64,0,4,9
1234,6,93,1,5,0
6964,1,49,1,7,2
3915,4,67,0,7,2
446,9,98,0,6,7
844,3,66,1,6,7
8062,6,48,1,8,3
5402,6,71,1,5,5
2440,6,76,0,9,6
3103,1,71,0,7,7
8585,7,95,1,5,1
6791,8,69,0,7,0
5650,3,57,1,6,4
1294,2,65,1,7,4
5079,1,52,0,5,8
9016,7,55,0,7,1
5067,3,71,0,4,5
3442,2,60,0,5,7
8451,9,85,1,4,5
7273,6,97,1,5,7
6105,5,95,0,8,8
776,1,95,0,5,1
9716,3,41,0,9,6
2153,7,58,0,8,6
4920,8,64,0,4,1
5360,7,73,1,9,3
9735,4,67,0,6,8
5957,5,74,1,7,1
8411,8,90,0,8,4
8432,9,90,0,6,9
3183,3,86,0,8,0
6792,8,65,0,8,7
3199,1,74,1,6,5
9369,9,80,1,5,4
1289,2,40,0,9,8
4581,3,81,0,7,9
6192,1,77,1,6,7
8935,8,44,1,5,6
7149,8,41,1,7,5
9846,4,95,1,5,8
4106,6,54,0,7,3
4126,1,52,0,9,1
8300,7,57,1,5,5
3966,1,58,0,4,6
1879,9,74,1,4,4
8496,8,78,0,4,0
9299,8,50,1,8,6
6348,7,98,1,7,4
3587,6,80,1,9,5
7372,2,46,1,6,8
3865,8,97,0,7,9
8487,6,54,0,4,9
4131,2,55,0,4,7
1036,7,84,0,9,6
636,1,44,0,8,8
6153,8,65,1,6,7
4134,2,76,0,7,1
5338,4,82,0,8,2
1083,9,56,0,4,4
861,5,55,0,6,6
903,6,51,1,7,3
191,4,93,0,9,4
109,7,89,0,8,1
4455,9,79,1,5,3
1942,3,76,1,4,0
5856,4,73,0,7,4
4331,8,94,1,8,7
8541,2,64,0,5,4
2040,5,96,1,7,3
7331,7,97,0,9,8
7317,7,56,1,9,8
7779,6,56,0,9,5
4659,7,80,0,4,8
7313,7,93,0,8,4
2775,9,80,1,6,4
4145,5,82,0,8,9
2323,7,74,1,8,7
762,1,71,1,6,6
2617,3,95,1,7,1
2411,5,47,0,8,4
1094,1,76,1,9,4
6173,9,88,1,6,2
7048,9,54,1,7,8
9272,3,95,0,8,7
3135,2,83,0,7,3
7787,3,75,1,5,9
5040,6,66,0,9,8
3805,9,62,0,6,3
884,4,87,1,9,2
2654,7,41,0,5,3
5921,7,74,1,5,9
6187,7,86,1,9,3
8085,2,79,0,8,3
6742,5,94,0,5,3
7626,7,62,0,8,5
5680,2,79,0,5,8
7007,5,91,1,9,9
9686,6,99,1,5,2
2202,2,72,1,9,1
6107,6,87,1,5,4
6417,3,62,0,5,1
1262,4,51,0,9,2
8379,6,77,0,6,1
975,2,65,0,5,8
5831,7,71,0,8,6
4925,9,86,0,7,0
941,9,73,0,9,0
4723,4,87,0,8,8
2387,8,91,1,6,7
9728,7,49,0,6,8
5021,7,44,0,5,2
4391,7,47,0,4,2
5148,7,99,1,4,3
3221,8,76,0,5,8
3882,5,70,1,8,0
9438,7,70,1,6,7
6624,2,71,0,7,1
5918,6,78,1,6,5
2789,3,98,1,7,7
944,6,99,0,6,4
8908,7,53,1,8,7
1857,1,69,0,7,0
9080,7,73,1,6,1
4108,2,42,1,4,5
8513,6,74,0,7,6
3255,1,98,1,5,2
2690,6,59,0,8,5
9512,6,92,1,9,8
6961,8,83,1,4,0
1319,5,58,0,6,3
8882,3,99,0,6,6
9880,7,63,1,6,5
5162,3,42,0,9,4
5829,2,99,1,9,8
7953,7,84,1,8,3
5958,9,57,0,7,1
9271,3,68,1,5,3
3475,7,96,1,5,5
3505,7,50,1,4,1
4749,8,62,1,9,4
2477,1,81,1,6,6
9490,8,53,1,4,5
6615,5,89,0,6,0
7413,6,67,1,5,3
7586,1,85,0,9,6
5344,8,64,0,6,7
9863,2,95,0,4,6
7111,1,90,0,7,5
1874,2,79,1,7,9
8516,4,86,1,4,4
5270,1,92,0,6,8
5096,2,45,1,5,0
2904,3,48,1,5,3
570,6,42,0,4,6
1448,1,42,0,5,6
5964,2,49,1,6,0
6242,3,40,0,7,6
6347,6,86,0,9,1
7874,4,81,0,7,6
9816,1,48,0,8,3
3226,5,67,0,8,0
9744,5,84,1,7,3
3978,4,53,0,6,7
4383,8,46,0,6,0
7856,1,97,0,4,3
3539,9,87,0,7,7
5682,5,52,0,8,5
2827,5,75,0,4,0
7658,7,91,0,5,2
4996,1,74,1,8,5
1338,3,63,0,7,8
3262,9,46,0,5,9
6386,5,71,0,6,5
7951,9,88,1,8,9
650,6,43,0,9,6
2902,1,53,1,6,3
2258,3,95,1,4,9
7402,6,42,0,8,4
3521,9,79,1,8,7
2730,7,80,1,5,8
5496,1,90,1,5,5
4478,6,59,1,8,5
1596,1,79,1,5,8
7066,2,81,1,5,9
2584,6,75,0,7,2
